date,company_name,organization_type,brand,category,department,customer_name,designation,country_of_origin,customer_email_id,whatsapp_number,phone_number,website,payment_term,fabric_reference,mailing_address,visiting_address,linkedin_profile,remarks,concern_fe_rep
2021-12-07,Harris and Sons,Exporter,Group,Fashion,Procurement,David Jordan,Director,Qatar,hramirez@example.net,357-283-5200x8098,8846388537,https://www.carpenter-hutchinson.biz/,Net 30,"Plant, Behavior","348 Evans Route Apt. 555, Port Michael, OR 03664","859 Ramos Brooks, North Catherinemouth, IL 48604",https://www.miller.org/,Bulk buyer,Dawn May
2024-02-07,Sheppard-Day,Retailer,PLC,Apparel,Export,Christina Edwards,Director,Kuwait,olewis@example.com,+1-698-886-4587x8374,(931)822-2680x17609,https://www.lewis-horne.com/,Net 30,"Free, Plan","10502 Brewer Square, Johnborough, AS 51558","6145 Greer Vista, East Robert, PA 88600",http://www.stephens-brown.com/,Top customer,Gary Hahn
2022-10-10,Cochran Group,Wholesaler,Group,Apparel,Design,Dorothy Roach,Director,Mozambique,steven51@example.com,(963)650-3371,780.450.1610,https://moore.com/,Advance,"Finish, Off","Unit 0333 Box 9958, DPO AE 91208","785 Steven Street, New Jacquelineshire, GA 36184",http://www.bowman.com/,Prefers organic,Amber Wallace
2024-12-16,Vincent Inc,Wholesaler,PLC,Accessories,Export,Christine Brown,Director,United Arab Emirates,ashley73@example.com,837.504.9133x126,001-451-236-8403x884,https://clark.com/,Net 30,"Reach, Ask","91898 Kyle Bridge Apt. 004, Port Scottmouth, GU 93353","Unit 8618 Box 0735, DPO AA 35332",https://nelson-mccarthy.net/,Prefers organic,Richard Gutierrez
2023-10-26,Young-Banks,Wholesaler,Inc,Accessories,Design,Joseph Drake,Manager,Sri Lanka,simonwarren@example.com,+1-711-790-6562x89118,+1-289-967-0129x10395,https://gonzalez.com/,Advance,"Decade, Long","292 Chris Plains, North Gabrielaberg, MA 61393","245 Moreno Throughway, North David, OR 15452",https://www.lucero.com/,Bulk buyer,Margaret Stewart
2023-03-10,"Smith, Lara and Decker",Manufacturer,Ltd,Fashion,Procurement,Mr. James Johnson,Executive,Kiribati,thomaslee@example.org,766-368-5352,001-209-351-9533x636,https://www.byrd-holt.com/,LC at Sight,"Experience, Three","0126 Craig Point, New Ericbury, PW 24869","586 Steve Overpass Suite 520, New Justinfurt, AK 40044",http://neal.com/,Fast payment,Jordan Sanders
2023-03-23,Pham-Valdez,Exporter,LLC,Apparel,Design,Laura Warren,Executive,Sao Tome and Principe,jneal@example.com,890-330-2328,+1-302-582-7485x9666,https://castillo-burns.com/,Net 30,"Care, Region","762 Nelson Islands Suite 357, South Amanda, NE 32273","966 Hill Parkways Suite 625, Lake Paul, OH 91627",http://sweeney.com/,Prefers organic,Mary Rivera
2023-06-06,Norris-Byrd,Exporter,and Sons,Apparel,Sales,Pamela Browning,Director,Lao People's Democratic Republic,smithtammy@example.net,212.363.4355x3431,973-783-9951,https://www.spencer.biz/,Advance,"Bring, Serious","63686 Hensley Vista, Lake Heather, MH 56867","9588 Molly Stream, New Clintonfort, DE 94915",http://williams.com/,Bulk buyer,Mark Jennings
2021-01-20,"Smith, Haynes and Benton",Exporter,LLC,Accessories,Export,Stephanie Wilson,Executive,Croatia,lesliemcmillan@example.org,821-455-6989x9778,(309)365-0651x43892,https://chavez.info/,Advance,"Something, Market","4917 Smith Circles, Warnerburgh, ME 05476","888 Michael Overpass, Olivermouth, MO 38499",http://bray-robbins.com/,Fast payment,Sierra Howell
2020-04-23,"Clark, Thomas and Adams",Wholesaler,Inc,Textile,Design,Morgan Parrish,Director,Gibraltar,gilbertmark@example.com,542.336.3310x97116,3814491972,http://ford.com/,Net 30,"Most, Act","722 Bass Garden, Freyton, MS 33429","6846 Anthony Flat Suite 031, Port Alexanderland, AS 74354",http://bowen.org/,Prefers organic,Alison Gonzalez
